Homer's Night Out
Krusty Gets Busted
The Call of the Simpsons
Life on the Fast Lane
The Crepes of Wrath
Some Enchanted Evening
Simpsons Roasting on an Open Fire
Bart the Genius
There's No Disgrace Like Home
Moaning Lisa
The Telltale Head
Bart the General
Homer's Odyssey
"Bart Gets an ""F"""
Two Cars in Every Garage and Three Eyes on Every Fish
Dead Putting Society
Bart the Daredevil
Bart Gets Hit by a Car
Homer vs. Lisa and the 8th Commandment
"Oh Brother, Where Art Thou?"
Old Money
Lisa's Substitute
Blood Feud
"One Fish, Two Fish, Blowfish, Blue Fish"
Simpson and Delilah
Treehouse of Horror
Dancin' Homer
Bart vs. Thanksgiving
Itchy & Scratchy & Marge
The Way We Was
Principal Charming
"Bart's Dog Gets an ""F"""
The War of the Simpsons
Three Men and a Comic Book
Brush with Greatness
Mr. Lisa Goes to Washington
Bart the Murderer
"Like Father, Like Clown"
Saturdays of Thunder
Burns Verkaufen der Kraftwerk
Radio Bart
Bart the Lover
Separate Vocations
Colonel Homer
Bart's Friend Falls in Love
Stark Raving Dad
When Flanders Failed
Homer Defined
Dog of Death
Treehouse of Horror II
Lisa's Pony
I Married Marge
Lisa the Greek
The Otto Show
Homer Alone
Homer at the Bat
Black Widower
Flaming Moe's
"Brother, Can You Spare Two Dimes?"
Kamp Krusty
Itchy & Scratchy: The Movie
Lisa's First Word
Selma's Choice
Marge in Chains
New Kid on the Block
Homer's Triple Bypass
Duffless
So It's Come to This: A Simpsons Clip Show
The Front
Brother from the Same Planet
Marge vs. the Monorail
I Love Lisa
Marge Gets a Job
Last Exit to Springfield
Whacking Day
Lisa the Beauty Queen
Krusty Gets Kancelled
A Streetcar Named Marge
Treehouse of Horror III
Mr. Plow
Homer the Heretic
Homer's Barbershop Quartet
Homer Goes to College
Marge on the Lam
Boy-Scoutz 'n the Hood
Homer the Vigilante
Bart Gets Famous
Lisa vs. Malibu Stacy
Bart Gets an Elephant
Lady Bouvier's Lover
"$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)"
Treehouse of Horror IV
The Last Temptation of Homer
Rosebud
Homer and Apu
Homer Loves Flanders
Burns' Heir
Secrets of a Successful Marriage
Cape Feare
Bart's Inner Child
Deep Space Homer
Sweet Seymour Skinner's Baadasssss Song
The Boy Who Knew Too Much
Bart of Darkness
Itchy & Scratchy Land
Lisa on Ice
Fear of Flying
And Maggie Makes Three
Homie the Clown
Homer vs. Patty and Selma
Two Dozen and One Greyhounds
'Round Springfield
Lemon of Troy
Grampa vs. Sexual Inadequacy
Bart's Comet
Bart vs. Australia
Lisa's Rival
A Star Is Burns
Lisa's Wedding
Another Simpsons Clip Show
The PTA Disbands
Sideshow Bob Roberts
Bart's Girlfriend
The Springfield Connection
Homer Badman
Homer the Great
Treehouse of Horror V
Who Shot Mr. Burns? (Part One)
Radioactive Man
Bart Sells His Soul
Treehouse of Horror VI
Marge Be Not Proud
Team Homer
Bart the Fink
22 Short Films About Springfield
Much Apu About Nothing
Summer of 4 Ft. 2
Sideshow Bob's Last Gleaming
A Fish Called Selma
Home Sweet Homediddly-Dum-Doodily
Scenes from the Class Struggle in Springfield
King-Size Homer
Lisa the Vegetarian
Who Shot Mr. Burns? (Part Two)
Homer the Smithers
The Simpsons 138th Episode Spectacular
Two Bad Neighbors
Lisa the Iconoclast
Mother Simpson
"Raging Abe Simpson and His Grumbling Grandson in ""The Curse of the Flying Hellfish"""
Homerpalooza
The Day the Violence Died
Bart on the Road
"Burns, Baby Burns"
Lisa's Date with Density
The Springfield Files
The Twisted World of Marge Simpson
The Itchy & Scratchy & Poochie Show
Homer's Phobia
Homer vs. the Eighteenth Amendment
The Canine Mutiny
In Marge We Trust
The Secret War of Lisa Simpson
Simpsoncalifragilisticexpiala(Annoyed Grunt)cious
Treehouse of Horror VII
Brother from Another Series
The Homer They Fall
Bart After Dark
The Old Man and the Lisa
A Milhouse Divided
"My Sister, My Sitter"
Grade School Confidential
Hurricane Neddy
The Simpsons Spin-Off Showcase
Mountain of Madness
You Only Move Twice
El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer)
Homer's Enemy
The Principal and the Pauper
Bart Star
Lisa the Skeptic
"All Singing, All Dancing"
The Joy of Sect
This Little Wiggy
The Trouble with Trillions
Trash of the Titans
Natural Born Kissers
Lisa's Sax
Lost Our Lisa
Girly Edition
Realty Bites
The Last Temptation of Krust
The Cartridge Family
Simpson Tide
The City of New York vs. Homer Simpson
Miracle on Evergreen Terrace
King of the Hill
Das Bus
Bart Carny
Lisa the Simpson
Dumbbell Indemnity
Treehouse of Horror VIII
The Two Mrs. Nahasapeemapetilons
The Wizard of Evergreen Terrace
Treehouse of Horror IX
Mayored to the Mob
Wild Barts Can't Be Broken
Make Room for Lisa
Mom and Pop Art
Monty Can't Buy Me Love
Thirty Minutes over Tokyo
Lard of the Dance
When You Dish Upon a Star
"Lisa Gets an ""A"""
"Homer Simpson in: ""Kidney Trouble"""
"Sunday, Cruddy Sunday"
Maximum Homerdrive
Simpsons Bible Stories
Viva Ned Flanders
"The Old Man and the ""C"" Student"
They Saved Lisa's Brain
Homer to the Max
Bart the Mother
I'm with Cupid
"Marge Simpson in: ""Screaming Yellow Honkers"""
D'oh-in' in the Wind
